name,version,license,license_normalized,location,classification,osrb_ticket
nvidia_nvjitlink_cu12,12.8.93,Other/Proprietary License,Proprietary,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,unknown,
nvidia_nvshmem_cu12,3.4.5,Unknown,UNKNOWN,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,unknown,
nvidia_nvtx_cu12,12.8.90,Other/Proprietary License,Proprietary,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,unknown,
oauthlib,3.2.2,OSI Approved,UNKNOWN,exts/omni.pip.cloud/pip_prebundle,unknown,
opencv_python_headless,4.13.0.90,Apache Software License,Apache,exts/omni.pip.compute/pip_prebundle,allowed,
osqp,1.0.5,Unknown,UNKNOWN,exts/omni.isaac.core_archive/pip_prebundle,unknown,
packaging,26.0,Unknown,UNKNOWN,exts/omni.isaac.core_archive/pip_prebundle,unknown,
pin,4.0.0,Unknown,UNKNOWN,exts/isaacsim.robot_motion.pink/pip_prebundle,unknown,
pin_pink,4.2.0,Apache Software License,Apache,exts/isaacsim.robot_motion.pink/pip_prebundle,allowed,
portalocker,2.7.0,BSD-3-Clause,BSD-3-Clause,exts/omni.pip.cloud/pip_prebundle,allowed,
pycollada,0.9.3,BSD,BSD,exts/isaacsim.asset.importer.urdf/pip_prebundle,allowed,
pynvvideocodec,2.1.0,MIT License,MIT,exts/omni.pip.compute/pip_prebundle,allowed,
pyopengl_accelerate,3.1.10,BSD License,BSD,exts/isaacsim.pip.newton/pip_prebundle,allowed,
pyperclip,1.11.0,BSD License,BSD,exts/omni.isaac.core_archive/pip_prebundle,allowed,
python_dateutil,2.9.0.post0,BSD License,BSD,exts/omni.pip.cloud/pip_prebundle,allowed,
python_utils,3.9.1,BSD License,BSD,exts/isaacsim.pip.newton/pip_prebundle,allowed,
pyyaml,6.0.3,MIT License,MIT,exts/omni.pip.compute/pip_prebundle,allowed,
qdldl,0.1.7.post5,Apache 2.0,Apache-2.0,exts/omni.isaac.core_archive/pip_prebundle,allowed,
qpsolvers,4.11.0,GNU Lesser General Public License v3 (LGPLv3),LGPL-3.0,exts/isaacsim.robot_motion.pink/pip_prebundle,exception,https://nvbugspro.nvidia.com/bug/6047066
rapids_logger,0.1.1,Apache Software License,Apache,exts/isaacsim.ucx.core/pip_prebundle,allowed,
requests,2.32.3,Apache Software License,Apache,exts/omni.pip.cloud/pip_prebundle,allowed,
requests_oauthlib,1.3.1,BSD License,BSD,exts/omni.pip.cloud/pip_prebundle,allowed,
rmm_cu12,25.6.0,Apache Software License,Apache,exts/isaacsim.ucx.core/pip_prebundle,allowed,
rtree,1.4.1,Unknown,UNKNOWN,exts/omni.pip.compute/pip_prebundle,unknown,
s3transfer,0.14.0,Apache Software License,Apache,exts/omni.pip.cloud/pip_prebundle,allowed,
scipy,1.17.0,BSD License,BSD,exts/omni.pip.compute/pip_prebundle,allowed,
six,1.17.0,MIT License,MIT,exts/omni.pip.cloud/pip_prebundle,allowed,
sympy,1.14.0,BSD License,BSD,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,allowed,
tinyobjloader,2.0.0rc13,MIT License,MIT,exts/isaacsim.pip.newton/pip_prebundle,allowed,
torch,2.11.0+cu128,BSD-3-Clause,BSD-3-Clause,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,allowed,
torchaudio,2.11.0+cu128,BSD License,BSD,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,allowed,
torchvision,0.26.0+cu128,BSD,BSD,extsDeprecated/omni.isaac.ml_archive/pip_prebundle,allowed,
trimesh,4.11.1,MIT License,MIT,exts/omni.pip.compute/pip_prebundle,allowed,
ucxx_cu12,0.44.0,BSD License,BSD,exts/isaacsim.ucx.core/pip_prebundle,allowed,
urdf_usd_converter,0.1.2,Apache-2.0,Apache-2.0,exts/isaacsim.asset.importer.urdf/pip_prebundle,allowed,
