name,SG8S_AR0820C_5300_G2A_H30YA_01
focalLength,15.300000190734863
focusDistance,7070.0
fStop,1.600000023841858
projection,perspective
stereoRole,mono
horizontalAperture,8.064000129699707
verticalAperture,4.535999774932861
clippingRange,"(1, 1000000)"
cameraProjectionType,pinhole
nominalWidth,3840.0
nominalHeight,2160.0
opticalCenterX,1864.240478515625
opticalCenterY,986.3945922851562
maxFOV,30.0
polyK0,-0.6564998626708984
polyK1,-4.156541347503662
polyK2,245.6761932373047
polyK3,-0.43839189410209656
polyK4,-4.5701212882995605
polyK5,251.74969482421875
p0,-0.000658363220281899
p1,8.901000114747148e-07
s0,0.0
s1,0.0
s2,0.0
s3,0.0
physicalDistortionCoefficients,Not Applicable
physicalDistortionModel,Not Applicable
